Correction,StageVar,Group,Clock,n,mean,sd,median,q1,q3,min,max
Raw,DiseaseGroup,Advanced fibrosis,PCHorvath1,120,5.85,4.87,6.07,2.6,9.17,-10.99,18.53
Raw,DiseaseGroup,Healthy,PCHorvath1,74,-6.87,5.11,-6.71,-9.71,-3.7,-26.47,9.88
Raw,DiseaseGroup,Healthy obese,PCHorvath1,228,-0.78,5.42,-0.93,-4.49,3.04,-12.93,13.02
Raw,DiseaseGroup,MASH,PCHorvath1,79,1.98,5.05,2.24,-0.39,5.26,-10.97,24.61
Raw,DiseaseGroup,MASL,PCHorvath1,50,-3.3,7.65,-3.32,-8.03,1.96,-25.19,13.66
Raw,DiseaseGroup,Mild fibrosis,PCHorvath1,14,-0.53,8.45,-0.71,-6.1,2.58,-11.31,22.32
Raw,DiseaseGroup,Advanced fibrosis,Horvath2,120,-2.64,6.42,-2.43,-7.16,1.27,-18.93,17.08
Raw,DiseaseGroup,Healthy,Horvath2,74,0.58,7.37,0.49,-4.33,5.59,-21.01,20.44
Raw,DiseaseGroup,Healthy obese,Horvath2,228,0.32,5.98,0.57,-3.66,3.7,-18.22,15.77
Raw,DiseaseGroup,MASH,Horvath2,79,2.28,7.37,3.28,-1.62,6.98,-21.89,18.39
Raw,DiseaseGroup,MASL,Horvath2,50,-0.06,14.11,1.86,-2.46,6.17,-83.36,16.97
Raw,DiseaseGroup,Mild fibrosis,Horvath2,14,1.64,6.12,0.9,-2.15,4.88,-7.64,12.87
Raw,DiseaseGroup,Advanced fibrosis,PCHorvath2,120,7.52,5.29,8.27,4.12,10.63,-12.26,21.16
Raw,DiseaseGroup,Healthy,PCHorvath2,74,-9.6,5.11,-9.47,-12.08,-6.23,-28.72,1.83
Raw,DiseaseGroup,Healthy obese,PCHorvath2,228,0.06,6.56,0.24,-4.56,4.68,-15.16,15.18
Raw,DiseaseGroup,MASH,PCHorvath2,79,-0.08,4.78,0.32,-2.69,3.17,-12.77,11.33
Raw,DiseaseGroup,MASL,PCHorvath2,50,-3.75,9.74,-4.54,-8.61,0.51,-20.46,34.72
Raw,DiseaseGroup,Mild fibrosis,PCHorvath2,14,-0.87,11.07,-2.52,-5.72,1.34,-14.82,31.64
Raw,DiseaseGroup,Advanced fibrosis,Hannum,120,-3.18,4.79,-3.26,-6.22,-0.31,-13.25,13.76
Raw,DiseaseGroup,Healthy,Hannum,74,1.36,5.55,2.33,-1.48,4.32,-13.36,14.61
Raw,DiseaseGroup,Healthy obese,Hannum,228,1.68,4.09,1.6,-0.63,4.17,-15.23,13.8
Raw,DiseaseGroup,MASH,Hannum,79,-1.01,6.15,-0.24,-4.58,3.5,-20.5,9.29
Raw,DiseaseGroup,MASL,Hannum,50,-0.3,8.67,1.26,-1.37,3.61,-48.46,12.41
Raw,DiseaseGroup,Mild fibrosis,Hannum,14,-0.51,5.83,1.43,-4.7,3.13,-9.37,9.89
Raw,DiseaseGroup,Advanced fibrosis,PCHannum,120,0.58,4.32,0.5,-2.74,3.18,-10.81,13.42
Raw,DiseaseGroup,Healthy,PCHannum,74,-3.62,4.24,-3.06,-5.86,-0.91,-17.34,7.96
Raw,DiseaseGroup,Healthy obese,PCHannum,228,0.72,4.62,0.64,-2.4,3.76,-11.67,14.17
Raw,DiseaseGroup,MASH,PCHannum,79,0.66,4.44,0.73,-3.16,4.21,-7.82,12.09
Raw,DiseaseGroup,MASL,PCHannum,50,-0.48,6.8,-0.56,-4.19,2.22,-14.31,22.61
Raw,DiseaseGroup,Mild fibrosis,PCHannum,14,0.42,7.53,-0.02,-4.95,3.11,-7.13,20.87
Raw,DiseaseGroup,Advanced fibrosis,PhenoAge,120,1.72,6.26,1.35,-2.65,6.41,-12.69,20.67
Raw,DiseaseGroup,Healthy,PhenoAge,74,-1.73,6.66,-1.56,-5.25,2.64,-22.84,11.75
Raw,DiseaseGroup,Healthy obese,PhenoAge,228,-2.19,5.73,-2.45,-5.75,1.67,-21.97,11.05
Raw,DiseaseGroup,MASH,PhenoAge,79,2.99,6.54,2.67,-1.38,7.06,-13.39,29.18
Raw,DiseaseGroup,MASL,PhenoAge,50,2.57,14.93,0.4,-4.23,7.99,-27.96,59.12
Raw,DiseaseGroup,Mild fibrosis,PhenoAge,14,4.01,15.42,0.95,-5.58,10.55,-18.7,43.72
Raw,DiseaseGroup,Advanced fibrosis,PCPhenoAge,120,-0.04,6.17,0.15,-4.42,4.11,-15.03,17.9
